file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00004_05090.100-05091.250,ད། ཐེག་ཆེན་གི་གྲུབ་མཐའ།  ,da/_theg chen gi grub mtha'/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00004_05090.100-05091.250.wav,STT_TT,3,25,1.1499999999996362,wav16k/STT_TT00004_05090.100-05091.250.wav,ད་ཐེག་ཆེན་གི་གྲུབ་མཐའ།
STT_TT00063_01382.150-01385.150,ཡང་ན་ཅིག ཨེམ་ཨཱ།  ,yang na cig_em A/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00063_01382.150-01385.150.wav,STT_TT,3,18,3.0,wav16k/STT_TT00063_01382.150-01385.150.wav,ཡང་ན་ཅིག ཨུམ་ཨ།
STT_TT00063_01387.450-01397.500,ཁ་སྐོང་བྱེད་ཡ་དང་། སྣོན་པའི་རྒྱག་ཡ་འདྲ་པོ་དེ་འདྲ་གི། ཨེ། ཕན་ཐོགས་ཡོད་བསྡད་པ་གཅིག དེ་འདྲའི་གཅིག་གི་ག་རེ་ཞུ་དགོས་རེད་ད། ཨཱ། འབྲེལ་བ་ཡོད་བསྡད་པ་གཅིག ཆགས་བསྡད་ཀི་ཡོད་རེད་ཟེ།  ,kha skong byed ya dang /_snon pa'i rgyag ya 'dra po de 'dra gi/_e/_phan thogs yod bsdad pa gcig_de 'dra'i gcig gi ga re zhu dgos red da/_A/_'brel ba yod bsdad pa gcig_chags bsdad ki yod red ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00063_01387.450-01397.500.wav,STT_TT,3,171,10.049999999999956,wav16k/STT_TT00063_01387.450-01397.500.wav,ཁ་སྐོང་བྱེད་ཡ་དང་། སྣོན་སཔེ་རྒྱག་ཡ་འདྲ་པོ་ དེ་འདྲའ་གི། ཨེ། ཕན་ཐོགས་ཡོད་བསྡད་པ་ཅིག དེ་འདྲའི་ཅིག་གི ག་རེ་ཞུ་དགོས་རེད་ད། ཨ། འབྲེལ་བ་ཡོད་བསྡད་པ་ཅིག ཆགས་བསྡད་ཡོད་རེད་ཟེ།
STT_NS0122_0101_794702_to_802499,གཅིག་སོ་སོ་གི་མི་ལབ་ཡ་དེ་ཨ་བཟང་སྤྱོད་དེ་ལ་བཟང་སྤྱོད་ལབ་ཡ་དེ་ག་ཙམ་ཅིག་གི་གལ་ཆེན་པོ་རིན་ཐང་འདྲ་བོ་ཅིག་ཡོད་བ། ཨུན། ཨོ་དེ་མ་མཐོང་ ,gcig so so gi mi lab ya de a bzang spyod de la bzang spyod lab ya de ga tsam cig gi gal chen po rin thang 'dra bo cig yod ba/_un/_o de ma mthong _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0122_0101_794702_to_802499.wav,STT_NS,3,126,7.797,wav16k/STT_NS0122_0101_794702_to_802499.wav,གཅིག་སོ་སོ་གི་མི་ལབ་ཡ་དེ་ཨུ་བཟང་སྤྱོད་དེ་ལབཟང་སྤྱོད་ལབ་ཡ་དེ་ག་ཚམ་ཅིག་གི་གལ་ཆེན་པོ་རིན་ཐང་འདྲ་བོ་ཅིག་ཡོད་བ། འོ་དེ་མ་ཐོང།
STT_NS0122_0102_802499_to_810295,མ་མཐོང་པ་འདྲ་བོ་ལབ་དགོས་རེད། ད་མ་བརྩི་བ་འདྲ་བོ་ཡོད་བ། ཨུན་ཨུན། ད་གཅིག་དེ་རེད། མི་ཚང་མ་གིས་ད་སྔན་མ་དུས་ཚོད་ལ་ཡོད་ན་ཡོད་རེད་ན། ད་སྔན་མ་དུས་ཚོད་ནས་མི་ཚང་མ་ཉམ་ཆུང་བྱས་ནས་ཚང་མ་ ,ma mthong pa 'dra bo lab dgos red/_da ma brtsi ba 'dra bo yod ba/_un un/_da gcig de red/_mi tshang ma gis da sngan ma dus tshod la yod na yod red na/_da sngan ma dus tshod nas mi tshang ma nyam chung byas nas tshang ma _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0122_0102_802499_to_810295.wav,STT_NS,3,172,7.796,wav16k/STT_NS0122_0102_802499_to_810295.wav,ོང་པ་འདྲ་བོ་ལབ་དགོས་རེད། ད་མ་བརྩིས་བ་འདྲ་བོ་ཡོད་བ། ཨུ། ཨེ་འདྲའི་ཅིག་ཡོད་བ། ད་གཅིག་འདི་རེད། མི་གཞན་པ་གིས་ད་སྔོན་མ་དུས་ཚོད་ལ་ཨེ་འདྲ་ཡོད་རེད་བ། ད་སྔོན་མ་དུས་ཚོད་ནས་མི་ཚང་མ་མཉམ་ཆུང་བྱས་ན་ཚང་མ་
STT_NS0122_0103_810295_to_818091,ཏོག་ཙི་ད་ཉམ་ཆུང་ཆུང་འདྲ་བྱས། ཡག་པོ་ད་སོ་སོ་ཉམ་ཆུང་བྱས་ན་ད་ཚང་མ་ཉམ་ཆུང་འདྲ་བོ་བྱས་ནས་ཏོག་ཙི་འདྲ་བོ་འདྲ་བོ་ད་འགྲོ་བསྡད་ཡ་ཅིག་ཡོད་བ། ཧེ་ཧེ་རེད་རེད། ད་དེང་སང་དུས་ཚོད་དེ་ལ་ ,tog tsi da nyam chung chung 'dra byas/_yag po da so so nyam chung byas na da tshang ma nyam chung 'dra bo byas nas tog tsi 'dra bo 'dra bo da 'gro bsdad ya cig yod ba/_he he red red/_da deng sang dus tshod de la _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0122_0103_810295_to_818091.wav,STT_NS,3,168,7.796,wav16k/STT_NS0122_0103_810295_to_818091.wav,ཏོག་ཙི་ད་ཉམ་ཆུང་ཆུང་ཨེ་འདྲའ་བྱས། ཡག་པོ་ད་སོ་སོས་ཉམས་ཆུང་བྱས་ནས་ད་ཚང་མ་ཉམས་ཆུང་འདྲ་བོ་བྱས་ནས་ཏོག་ཙི་འདྲ་བོ་འདྲ་བོ་ད་འགྲོ་བསྡད་ཡ་ཅིག་ཡོད་བ། ཧ་། ད་དེང་སང་དུས་ཚོད་དེ་ལ།
STT_NS0122_0104_820369_to_830123,ཉམ་ཆུང་བྱས་ན་གུད་བརྒྱག་གི་འདུག ཉམ་ཆུང་བྱེད་ཡ་མི་འདུག སོ་སོས་ཧམ་པ་ཆེ་ཟི་བྱེད་དགོས་འདུག ཨེ་འདྲས་ལབ་ཡ་ཅིག་ཡོད་བ། རེད་རེད་རེད། ཧམ་པ་ཆེ་སེ་མ་གནང་ན་སོ་སོ་གི་རག་དགོས་ཡ་རག་གི་མ་རེད། ཧེ་ཧེ། སོ་སོ་ལ་བྱེད་དགོས་ཡ་ཏག་ཏག་བྱེད་ཐུབ་ཀི་མ་རེད་ ,nyam chung byas na gud brgyag gi 'dug_nyam chung byed ya mi 'dug_so sos ham pa che zi byed dgos 'dug_e 'dras lab ya cig yod ba/_red red red/_ham pa che se ma gnang na so so gi rag dgos ya rag gi ma red/_he he/_so so la byed dgos ya tag tag byed thub ki ma red _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0122_0104_820369_to_830123.wav,STT_NS,3,226,9.754,wav16k/STT_NS0122_0104_820369_to_830123.wav,ད་ཉམ་ཆུང་བྱས་ན་གུས་རྒྱག་གི་འདུག ཉམ་ཆུང་བྱེད་ཡ་མི་འདུག སོ་སོ་ཧམ་པ་ཆེ་བྱེད་དགོས་འདུག ཨེ་འདྲའི་ལབ་ཡ་ཅིག་ཡོད་བ། ཨ ཧམ་པོ་ྱེ་རས་མ་ལ་་སོ་སོ་གིས་རག་དགོས་ཡ་ད་རག་གི་མ་རེད། སོ་སོ་ལ་བྱེད་དགོས་ཡ་དེ་ཏག་ཏག་བྱེད་ཐུབ་ཀི་མ་རེད།
STT_NS0122_0105_830123_to_839877,སོ་སོས་བྱེད་དགོས་རེད་ལབ་ཡ་ཅིག་ཡོད་བ། རེད་རེད། ཧམ་པ་བྱེད་དགོས་རེད་ལབ་ཡ་གཅིག་ཡོད་བ། རེད་རེད། ཨེ་ནས་དེའི་ལྟ་བ་ཤུགས་ཆེན་པོ་འདུག་བ། རེད་རེད། ད་སྔན་མ་ཨེ་འདྲ་ཨེ་འདྲས་ལབ་ཀི་འདུག་བ། ༧གོང་ས་མཆོག་ལ་ང་ཨེ་འདྲ་སེ། ཨུན་༧གོང་ས་མཆོག་གི་བཀའ་སློབ་ཞིག་ནང་ལོགས་ལ་ཡ་ཨུན་ ,so sos byed dgos red lab ya cig yod ba/_red red/_ham pa byed dgos red lab ya gcig yod ba/_red red/_e nas de'i lta ba shugs chen po 'dug ba/_red red/_da sngan ma e 'dra e 'dras lab ki 'dug ba/_7gong sa mchog la nga e 'dra se/_un 7gong sa mchog gi bka' slob zhig nang logs la ya un _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0122_0105_830123_to_839877.wav,STT_NS,3,249,9.754,wav16k/STT_NS0122_0105_830123_to_839877.wav,སོ་སོ་སོ་སོ་བྱེད་དགོས་རེད་ལབ་ཡ་ཅིག་ཡོད་བ ། ཧམ་པ་ཞེ་དགོས་རེད་ལབ་ཡ་ཅིག་ཡོད་བ། རད་ར། ཨེ་ནས་དེ་ལྟ་བ་ཤུགས་ཆེན་པོ་འདུག་བ། རེད་རེད།ད་སྔོན་མ་་ཨེ་འདྲའི་ལབ་ཀི་འདུག་བ། ༧གོང་ས་མཆོག་ལ་ང་ཨེ་འདྲའ་ྱེ།༧གོང་ས་མཆོག་བཀའ་སློབ་ཅིག་ནང་ལོགས་ལ་ཡོད་བ།ུ
STT_NS0122_0106_842644_to_844754,ཨ་བཀའ་སློབ་གཅིག་ལ་མི་གཅིག་གིས་དྲི་བ་བཏང་ཤག ཨུན་ ,a bka' slob gcig la mi gcig gis dri ba btang shag_un _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0122_0106_842644_to_844754.wav,STT_NS,3,48,2.11,wav16k/STT_NS0122_0106_842644_to_844754.wav,བཀའ་སློབ་གཅིག་ལ་ན་མི་གཅིགིས་དྲི་བ་བཏང་ཤག
STT_NS0122_0107_846644_to_855994,དེ་ཡ་རབས། ཨེ་གལ་སྲིད་སོ་སོས་སྤྱི་ཚོགས་ནང་ལོགས་ལ་ཡ་རབས་བཟང་སྤྱོད་བྱེད་ན་ད་རེད་བ། ཨུན། ཨེ་ནས་སོ་སོ་ག་འདྲའི་འདྲ་བོ་ཅིག་མཐོང་གི་འདུག་ལབ་ན་ཕོ་རོག་དཀར་པོ་འདྲ་བོ་མཐོང་གི་འདུག་ཟེར། ཧེ་ཧེ། ད་ག་རེ་བྱས་མི་ཚང་མ་སོ་སོ་སོ་སོས་བྱེད་ཀོ་རེད། སོ་སོ་ ,de ya rabs/_e gal srid so sos spyi tshogs nang logs la ya rabs bzang spyod byed na da red ba/_un/_e nas so so ga 'dra'i 'dra bo cig mthong gi 'dug lab na pho rog dkar po 'dra bo mthong gi 'dug zer/_he he/_da ga re byas mi tshang ma so so so sos byed ko red/_so so _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0122_0107_846644_to_855994.wav,STT_NS,3,232,9.35,wav16k/STT_NS0122_0107_846644_to_855994.wav,དེ་ཡབ་རབས་གལ་སྲིད་སོ་སོའི་སྤྱི་ཚོགས་ནང་ལོགས་ལ་ཡ་རབས་བཟང་སྤྱོད་བྱས་ན་ད་རེདད་བ། ཨེ་ནས་སོ་སོས་ག་འདྲའི་འདྲ་བོ་མཐོང་གི་འདུག་ལབ་ན་ ཕོ་རོག་དཀར་པོ་འདྲ་བོ་མཐོང་གི་འདུག  དག་རེ་བྱས་། མི་ཚང་མ་སོ་སོ་ས་སོས་བྱེད་རེད་སོ་སོ།
